"Date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","United Kingdom"
2022-02-13,-0.522222222222222,6.6,3.5,4.76666666666667,12.9,0.263636363636364,3.6,1.58571428571429,-5.28214285714286,7.59027777777778,3.87391304347826,11.05,0.616666666666667,7.18888888888889,7.01025641025641,2.125,0.336363636363636,3.3,10.8,5.84,1.28333333333333,0.66,13.0133333333333,0.885714285714286,0.14,-1.05,10.7763157894737,0.71,-0.433333333333333,6.88636363636364
2022-02-14,-0.0444444444444444,8.8,2.5,5.63333333333333,13.1,1.09090909090909,6,2.04285714285714,-3.46785714285714,7.9375,7.23478260869565,9.85,3.78333333333333,6.23333333333333,7.71794871794872,2.7,1.73636363636364,6.8,11.8,8.86,-0.0833333333333333,2.83,12.8333333333333,1,3.02,-1.65,10.35,-1.25,0.111111111111111,5.39545454545455
2022-02-15,0.155555555555556,7.1,3.825,8.8,13.1,2.92727272727273,5.23333333333333,2.32857142857143,-5.28571428571429,7.39305555555556,6.23478260869565,9.17,7.7,8.12222222222222,8.26410256410256,2.9,2.10909090909091,5.1,14.5,7.14,-1.31666666666667,3.86,12.7,2.91428571428571,4.28,-0.75,9.60394736842105,-1.24,0.444444444444444,5.22727272727273
2022-02-16,2.88888888888889,10.9,5.375,8.4,13.2,4.26363636363636,4.6,2.05,-3.56785714285714,10.4638888888889,8.33913043478261,11.59,5.86666666666667,10.6111111111111,7.26923076923077,2.7,3.76363636363636,8.6,11.7,10.24,-1.25,5.92,13.9,4.82857142857143,4.86,-0.55,11.5144736842105,-0.75,2.14444444444444,8.52727272727273
2022-02-17,6.62222222222222,9.8,7.55,9.73333333333333,11.6,6.29090909090909,4.7,2.14285714285714,-2.075,11.5180555555556,9,9.86,8.35,6.01111111111111,8.90512820512821,3.025,3.99090909090909,8.3,11.8,8.74,-1.66666666666667,6.45,14.2733333333333,6.71428571428571,6.26,3.45,12.7013157894737,-1.62,6.8,5.99545454545455
2022-02-18,5.91111111111111,8.8,8.475,10.1333333333333,12.3,4.92727272727273,3.86666666666667,0.985714285714286,-3.14642857142857,10.1680555555556,8.1,11.94,8.66666666666667,4.08888888888889,10.1564102564103,2.3,2.76363636363636,7.6,13.3,7.92,-0.683333333333333,4.91,12.2533333333333,5.02857142857143,6.56,3,11.2447368421053,-1.87,6.46666666666667,4.68636363636364
2022-02-19,3.41111111111111,5.9,6.125,10.8,13.4,3.93636363636364,3.9,0.585714285714286,-4.325,7.36388888888889,5.26086956521739,10.54,8.13333333333333,6.22222222222222,10.1,1.8,2.84545454545455,4.1,14.3,5.82,-1.46666666666667,5.63,11.78,6.05,6.54,2.25,10.1355263157895,-3.34,2.83333333333333,3.9
2022-02-20,3.11111111111111,9.1,7.55,8.16666666666667,15.1,3.71818181818182,3.66666666666667,-0.0428571428571429,-6.33214285714286,9.48888888888889,6.60869565217391,12.53,5.71666666666667,8.21111111111111,10.074358974359,1.525,1.91818181818182,6.7,14.7,8.02,-2.43333333333333,3.47,12.76,4.89285714285714,2.88,0.45,10.0065789473684,-4.07,3.74444444444444,7.46363636363636
2022-02-21,2.7,6.3,7.7,8.16666666666667,14.8,4.13636363636364,4.46666666666667,0.392857142857143,-7.10357142857143,8.99722222222222,5.33478260869565,14.05,5.36666666666667,7.91111111111111,10.0410256410256,2,3.41818181818182,4.3,13.3,6.4,-2.48333333333333,5.63,13.86,4.93571428571429,3.82,-0.8,11.1710526315789,-3.56,2.5,6.31818181818182
2022-02-22,1.65555555555556,6.9,8.325,7.73333333333333,15.7,2.2,2.7,-0.521428571428571,-10.675,9.13888888888889,5.70434782608696,11.27,5.01666666666667,8.55555555555556,8.8974358974359,0.35,0.7,5.2,13.4,7.02,-3.56666666666667,2.89,15.2266666666667,5.32142857142857,3.52,-2.6,11.4552631578947,-6.74,3.01111111111111,7.10454545454545
